gh,transaction,address,tradingfee,miningfee,tradeid
435,2180c40b566dfc492401aee01d44bc4d3c8bedf5082a0dcee280c03c0c4895c0,127cQ5P9W3yYnrbqkFc6J9JaJK4pNPtFhf,0.00004339,0.00004100,I3CF0G
438,064e82d2fcffe32ec420443337808fb4e9f2852e0e9f203663b7e55d28355c51,1EwwTLMWB7jNRPuahAjHVCDNMXcyMppxew,0.00005064,0.00028912,lxFhS
441,ce4e2446adc121bb6653ad2316f897babb24b1b767beea0d39e3a75530ae9e9a,1J7DZHruna1TN714j5qSd3BjjVPE2VNSDk,0.00035280,0.00009020,ZyilENaJ
442,3f91d5622f6e2fbe2435629d9d17dcfa621a2532a013f47507acb72703313e95,1D4ovsNkxhtdWNZQU8EY7XadENSrQKSjYC,0.00033680,0.00009020,8ddt5d
443,7a85bae2fae5ea9f933cf8d8d887cda7bd4a169678172306a927d29150dd17a4,1MYFF38tAYdo42HLtepZWtBCTcKijLBwzg,0.00032080,0.00012300,GJJVSXE
445,b75a79d798a945d74d9c80d36da5cc3ea062c7c74c2ac1a638e382c50c5adee3,1BitHJPJF3y4APKav9kHFhWGQBvAVqQN3U,0.00027280,0.00012300,CADUMWWE
444,a0b234476443e732c1bcaa37e10a3733db0e97379c463c217d287c576241e6db,19NKszigTZGXCYUbq3P5PWJu6Y2BwpVohW,0.00030480,0.00012300,77955363
446,b6d5eafb3980ced80aa317a443ab740e787933f7b6a634ba932f1ad842b20a86,1Hg16bxFvzx46XzbHrjdVCSZ6puVw5rVWx,0.00028880,0.00012300,goloxks
447,817e0d31e2d3705d9b49033154377085d0e975d786ccf6df239bf1c577037876,1Pa3xsgTvMiMtvcE628yffp3Y1pBWRoCtH,0.00025680,0.00012300,108210
448,74818ebb61c797174f93827fbff1fdabbd7f1bc156382a8d94773c4141c8b155,1GxENxiJLaNfy859G1U8SHLQwkFpEebQdv,0.00024080,0.00012300,824549
449,72e96167084e301fe612a46b90e4de04ed38d93ec45c91ff5f5eb74f82e3a10b,1A2mx4XvGMUGizWf9QPfNY1nTMX78U8n2Z,0.00022480,0.00012300,AVRELT3R
451,888e1a190c04aed7b59c3417ae0741e147047a0ec1a0a5d9ae4ce54a47d9190b,1742hH3bRZKN4riSu4FTjYNEZHq9vDu6gF,0.00400000,0.00002600,KFNVP
451,c01b583ab5401ac0fcc7c007ab3a8d9eddcab41a717c2815475628549743849a,14uFaeaU5eBVVAs18rDUanoyZp4ZqgnhTs,0.00062418,0.00003800,KFNVP
452,b452e31a5afaa372621d08267619e858701b4fa6a22343dea35c8fc7461a2227,1Npn2kiQaBArNjfZfbf7tkGXhMK4Y1M2cX,0.00400000,0.00002600,MTYoEN
452,9eeb7529602e424456a2b42c2976969e38b6b18c5b05998549e62a03b444bbfa,16MYw2q1Wn5Zv4ex1CXJTPPowuVtG4SzZh,0.00054818,0.00003800,MTYoEN
456,68914c1983a6b748b3a1bec1a609f0482b401af32d9d0cf9dcc8058ce36f39e0,15sKH8gAFLaZwbuFFF3YEKZazBxx2ZrVZ9,0.00005040,0.00014350,KAKSAMD
457,507482966e51199bac26139df7405522e767d55da7efb07e0f2d03639708d34a,13s4fK1emPykPg6uUMmccxRnP1mc5WPQrd,0.00025000,0.00008580,AkqlsC
458,46ed1289ce356da3c1b319e0e5545f377393d3015714a3fd5a55b4b563d7acc0,1B4ouGNmuk6sm91UeJUKMZ64vyzQbq1Az9,0.00044532,0.00004100,95490071
469,a515890d61402858ed859ad45edd936c85c00795d15b564a0032567cd7130641,158KRiAm2YagAMVKMtmq9aWsZd58StKCQm,0.00009803,0.00074888,OqbUAF
